id_cliente,nome,estado,cidade,regiao,segmento,porte,data_cadastro
1,Pedro Silva,PE,Caruaru,Nordeste,B2B,Pequeno,2025-01-25
2,Felipe Santos,RS,Caxias do Sul,Sul,B2B,Pequeno,2023-03-31
3,André Oliveira,PA,Santarém,norte,B2B,Grande,2023-05-18
4,Pedro Ribeiro,MS,Dourados,Centro-Oeste,B2B,Pequeno,2024-03-23
5,Rafael Carvalho,DF,Brasília,Centro-Oeste,B2B,Médio,2025-04-21
6,Juliana Silva,CE,Sobral,Nordeste,B2C,Pequeno,2024-09-09
7,Lucas Souza,PA,Belém,Norte,B2C,Pequeno,2025-10-20
8,Carlos Santos,PR,Foz do Iguaçu,Sul,B2C,Médio,2023-07-28
9,Beatriz Carvalho,PE,Olinda,Nordeste,B2B,Médio,2023-12-18
10,Lucas Ribeiro,SC,Chapecó,Sul,B2C,Médio,2024-05-30
11,Carlos Ribeiro,MG,Juiz de Fora,Sudeste,B2C,Médio,2023-07-14
12,Juliana Santos,PE,Olinda,Nordeste,B2C,Pequeno,2024-10-26
13,Patrícia Carvalho,DF,Brasília,Centro-Oeste,B2C,Médio,2025-03-06
14,Felipe Silva,DF,Brasília,Centro-Oeste,B2C,Médio,2023-09-30
15,Bruno Almeida,CE,Crato,Nordeste,B2B,Grande,2024-11-11
16,Mariana Pereira,PR,Londrina,Sul,B2B,Médio,2023-12-26
17,João Santos,RS,Caxias do Sul,Sul,B2C,Médio,2024-10-13
18,Mariana Souza,CE,Juazeiro do Norte,Nordeste,B2C,Grande,2025-09-14
19,Rafael Almeida,CE,Juazeiro do Norte,Nordeste,B2C,Grande,2023-05-19
20,Pedro Costa,MG,Belo Horizonte,Sudeste,B2B,Pequeno,2024-11-17
21,Camila Carvalho,BA,Ilhéus,Nordeste,B2B,Grande,2023-02-06
22,Felipe Silva,PR,Curitiba,Sul,B2C,Pequeno,2025-07-08
23,Patrícia Ribeiro,RJ,Petrópolis,Sudeste,B2B,Grande,2025-02-22
24,Pedro Almeida,CE,Crato,Nordeste,B2B,Grande,2025-11-12
